eventid,time,location,latitude,longitude,depth,magnitude,shakemap-depth,shakemap-event-description,shakemap-event-type,shakemap-eventsource,shakemap-eventsourcecode,shakemap-eventtime,shakemap-gmice,shakemap-latitude,shakemap-longitude,shakemap-magnitude,shakemap-map-status,shakemap-maximum-latitude,shakemap-maximum-longitude,shakemap-maxmmi,shakemap-maxmmi-grid,shakemap-maxpga,shakemap-maxpga-grid,shakemap-maxpgv,shakemap-maxpgv-grid,shakemap-maxpsa03,shakemap-maxpsa03-grid,shakemap-maxpsa10,shakemap-maxpsa10-grid,shakemap-maxpsa30,shakemap-maxpsa30-grid,shakemap-minimum-latitude,shakemap-minimum-longitude,shakemap-original-signature,shakemap-original-signature-version,shakemap-pdl-client-version,shakemap-process-timestamp,shakemap-review-status,shakemap-shakemap-code-version,shakemap-version,losspager-alertlevel,losspager-depth,losspager-eventsource,losspager-eventsourcecode,losspager-eventtime,losspager-latitude,losspager-longitude,losspager-magnitude,losspager-maxmmi,losspager-original-signature,losspager-original-signature-version,losspager-pdl-client-version,losspager-review-status,dyfi-depth,dyfi-eventsource,dyfi-eventsourcecode,dyfi-eventtime,dyfi-latitude,dyfi-longitude,dyfi-magnitude,dyfi-maxmmi,dyfi-num-responses,dyfi-numResp,dyfi-original-signature,dyfi-original-signature-version,dyfi-pdl-client-version,shakemap-overlayHeight,shakemap-overlayWidth
pr2020007010,2020-01-07 11:18:43.540,"0 km NW of Magas Arriba, Puerto Rico",18.0223,-66.776,9.0,5.6,9.0,USGS NEIC ShakeMap,ACTUAL,pr,2020007010,2020-01-07T11:18:43.000Z,WGRW12,18.0223,-66.776,5.6,automatic,18.917,-65.817,6.611,6.611,0.397,0.397,3.001,3.056,0.675,0.676,0.204,0.226,0.024,0.028,17.117,-67.7,MCwCFADzi6hrKysJzo0l9ZavZ8+9ev7eAhRwookkyZw+RtBqWclRiRLRUDqSqA==,v1,Version 1.14.0 2018-04-02,2020-04-03T19:30:01Z,automatic,4.0.1+427.g320fa78,8,yellow,9.0,pr,2020007010,2020-01-07T11:18:43.000Z,18.0223,-66.776,5.6,7.0,MCwCFATmZKhrl5zzEByI272Cfp3WxWyfAhRGdhi0m0m5RFcRp0onBgPGc9jZjg==,v1,Version 1.14.1 2018-04-26,automatic,9.0,pr,2020007010,2020-01-07T11:18:43.000Z,18.0223,-66.776,5.6,7.5,152.0,152.0,MCwCFGaCCPZ1YMyraUHfhCKHC9/5sHW6AhRDXdt/y0a73gOiK1tJf2Uw+aZbhg==,v1,Version 2.7.9 2021-02-10,,
us70006vvr,2020-01-07 19:11:35.665,"130 km ENE of Kimbe, Papua New Guinea",-5.2046,151.2659,117.0,6.0,117.0,USGS NEIC ShakeMap,ACTUAL,us,70006vvr,2020-01-07T19:11:35.000Z,WGRW12,-5.2046,151.2659,6.0,automatic,-4.017,152.433,4.364,4.364,0.039,0.039,0.468,0.468,0.062,0.062,0.017,0.017,0.003,0.003,-6.35,150.083,MC0CFEFdvRVeIkCUJbTgaIYxKJXpenzBAhUAjWJN+nlxuMjVclky57kV+b4nlkw=,v1,Version 1.14.0 2018-04-02,2020-02-05T22:20:01Z,automatic,4.0.1+381.g7b3fa70.dirty,5,green,117.0,us,70006vvr,2020-01-07T19:11:35.000Z,-5.2046,151.2659,6.0,4.0,MC0CFQCAY4z2dxI55iMOFulR//yr5kvQZgIUPzb972h3vsi5nGTYXx5jL0wC6E0=,v1,Version 1.14.1 2018-04-26,automatic,117.0,us,70006vvr,2020-01-07T19:11:35.000Z,-5.2046,151.2659,6.0,3.1,2.0,2.0,MCwCFG8/ao63+xuSJLeQQiw5+2DGMHGNAhRoWzvxNLVjggUzgAQlQI8ZmKafeQ==,v1,Version 2.1.0 2019-03-07,,
us70006wd1,2020-01-08 07:29:41.457,Pacific-Antarctic Ridge,-55.0203,-128.4311,10.0,5.5,10.0,USGS NEIC ShakeMap,ACTUAL,us,70006wd1,2020-01-08T07:29:41.000Z,WGRW12,-55.0203,-128.4311,5.5,automatic,-54.083,-126.883,,6.158,,0.236,,2.447,,0.384,,0.087,,0.011,-55.9,-130.017,MCwCFF5T76khs2yT+NirZi3d6wHDN5qqAhRSG962HOngLvFnKScnoONFrbKKPg==,v1,Version 1.14.0 2018-04-02,2020-03-30T06:50:50Z,automatic,4.0.1+381.g7b3fa70.dirty,3,green,10.0,us,70006wd1,2020-01-08T07:29:41.000Z,-55.0203,-128.4311,5.5,0.0,MC4CFQCOE98arVUMwiqfdhvm4qld+EQCGwIVAIWjJfaKvSTHjBcse9Ol4EdFTWw/,v1,Version 1.14.1 2018-04-26,automatic,,,,,,,,,,,,,,,
us70006wuf,2020-01-09 08:38:08.278,"Chukotskiy Avtonomnyy Okrug, Russia",62.358,171.0611,10.0,6.4,10.0,USGS NEIC ShakeMap,ACTUAL,us,70006wuf,2020-01-09T08:38:08.000Z,WGRW12,62.358,171.0611,6.4,automatic,64.583,176.383,7.443,7.443,0.317,0.317,3.502,3.502,0.765,0.765,0.336,0.336,0.079,0.079,59.95,166.5,MCwCFB6aSJnzjNE0dpamsTktAqCQxE+TAhQFaegZuDUijLy8oaHUYyJrjxLuiQ==,v1,Version 1.14.0 2018-04-02,2020-01-29T08:01:39Z,automatic,4.0.1+381.g7b3fa70.dirty,5,green,10.0,us,70006wuf,2020-01-09T08:38:08.000Z,62.358,171.0611,6.4,4.0,MCwCFGKvr0qhyWDe8vYwVzpRj0Nvp2NwAhQkBcKUGCBzlRsyKQoWITiLIys7cg==,v1,Version 1.14.1 2018-04-26,automatic,,,,,,,,,,,,,,,
us70006xjw,2020-01-10 15:21:21.632,"101 km SW of Barra de Navidad, Mexico",18.4552,-105.2328,10.0,5.6,10.0,USGS NEIC ShakeMap,ACTUAL,us,70006xjw,2020-01-10T15:21:21.000Z,WGRW12,18.4552,-105.2328,5.6,automatic,19.35,-104.267,3.825,6.264,0.015,0.239,0.24,2.537,0.043,0.414,0.017,0.098,0.003,0.013,17.55,-106.167,MCwCFELNUfmBPrI8mvGHNZiSt486r/9AAhRsIsWdEp4epbr6bddukIEfjAf+/A==,v1,Version 1.14.0 2018-04-02,2020-02-23T17:21:42Z,automatic,4.0.1+381.g7b3fa70.dirty,6,green,10.0,us,70006xjw,2020-01-10T15:21:21.000Z,18.4552,-105.2328,5.6,4.0,MCwCFH2qph3evTr4Hi5hWiebEIYwklkpAhQvi5yqH2L8lNWJD99yM4ZYRCEmqw==,v1,Version 1.14.1 2018-04-26,automatic,10.0,us,70006xjw,2020-01-10T15:21:21.000Z,18.4552,-105.2328,5.6,3.4,15.0,15.0,MC0CFQCZrvimtVRGUdR4JTHenh/clLNKbQIUa1QSFKqNp9pjIjdv0jj/kBtxy5A=,v1,Version 2.1.0 2019-03-07,,
pr2020011010,2020-01-11 12:54:45.910,"5 km SE of Maria Antonia, Puerto Rico",17.949,-66.8508,5.0,5.9,5.0,USGS NEIC ShakeMap,ACTUAL,pr,2020011010,2020-01-11T12:54:45.000Z,WGRW12,17.949,-66.8508,5.9,automatic,18.967,-65.75,6.598,6.662,0.448,0.466,3.5,3.5,0.924,0.931,0.269,0.269,0.045,0.045,16.933,-67.9,MC4CFQCTS3Z5RIMncjDyJplkOwYBWXLdvwIVAJ17xrQlgoRCuiou28eVpp7PrAzn,v1,Version 1.14.0 2018-04-02,2020-01-12T12:55:42Z,automatic,4.0.1+381.g7b3fa70.dirty,8,yellow,5.0,pr,2020011010,2020-01-11T12:54:45.000Z,17.949,-66.8508,5.9,6.0,MCwCFHguIoRyTNzXuiMAYOrVtjKyHSSsAhQmP50iGxdtdcS2AbQ91lmPU28c6A==,v1,Version 1.14.1 2018-04-26,automatic,5.0,pr,2020011010,2020-01-11T12:54:45.000Z,17.949,-66.8508,5.9,6.4,974.0,974.0,MCwCFEMaS0jTtpNSdS6N5e80I7CWczktAhQgzBuIko6uc1QIwe0r68SpgfVb+A==,v1,Version 2.7.9 2021-02-10,,
us70006yla,2020-01-12 02:27:00.348,Bouvet Island region,-54.3946,5.2056,10.0,5.6,10.0,USGS NEIC ShakeMap,ACTUAL,us,70006yla,2020-01-12T02:27:00.000Z,WGRW12,-54.3946,5.2056,5.6,automatic,-53.467,6.717,,6.568,,0.274,,2.759,,0.44,,0.158,,0.029,-55.267,3.633,MC0CFQCCb67RsmB0yRLkjz1fnjVpomS8DwIUf14rkMMThYCgLLsTYknYTjYcAiA=,v1,Version 1.14.0 2018-04-02,2020-02-20T00:24:01Z,automatic,4.0.1+381.g7b3fa70.dirty,5,green,10.0,us,70006yla,2020-01-12T02:27:00.000Z,-54.3946,5.2056,5.6,0.0,MC0CFHzcWgnlAQfK0gwYuX5eyn2wK34lAhUAkwregLfgBmO3a3c5KvYJsJGgyoY=,v1,Version 1.14.1 2018-04-26,automatic,,,,,,,,,,,,,,,
us7000702n,2020-01-15 07:55:30.169,"Timor region, Indonesia",-10.3733,124.0857,10.0,5.7,10.0,USGS NEIC ShakeMap,ACTUAL,us,7000702n,2020-01-15T07:55:30.000Z,WGRW12,-10.3733,124.0857,5.7,automatic,-9.45,125.0,5.616,6.296,0.141,0.237,2.02,2.371,0.309,0.457,0.077,0.099,0.01,0.012,-11.25,123.167,MC0CFQCBNSQ1ltT0ct1iqW2I5WFWPP/gGAIUfHwgYWfs9Wtapd9nNkSEA0rpCyI=,v1,Version 1.14.0 2018-04-02,2020-04-03T12:56:16Z,automatic,4.0.1+427.g320fa78,7,green,10.0,us,7000702n,2020-01-15T07:55:30.000Z,-10.3733,124.0857,5.7,5.0,MCwCFFc0vgqPidVWg/LVcT3qbIwB21FoAhQ9/kHRY9mQOVuqTyl3Di2mYCd4qg==,v1,Version 1.14.1 2018-04-26,automatic,,,,,,,,,,,,,,,
us700070uj,2020-01-16 09:58:19.100,north of Ascension Island,0.1168,-17.09,10.0,5.6,10.0,USGS NEIC ShakeMap,ACTUAL,us,700070uj,2020-01-16T09:58:19.000Z,WGRW12,0.1168,-17.09,5.6,automatic,1.017,-16.167,,6.277,,0.243,,2.546,,0.411,,0.097,,0.014,-0.767,-17.967,MCwCFGQtsafJ8l/3aXaObBgz3KRM+aU6AhREpA5rpqoMy2x7zqKo5GrWPRvBKw==,v1,Version 1.14.0 2018-04-02,2020-02-13T09:47:51Z,automatic,4.0.1+381.g7b3fa70.dirty,4,green,10.0,us,700070uj,2020-01-16T09:58:19.000Z,0.1168,-17.09,5.6,0.0,MCwCFHloyTmOHv+lnbZbUuAM8vfBWfOkAhRUPMTxvMDOq7ztRr8mFFJhF/EzZw==,v1,Version 1.14.1 2018-04-26,automatic,,,,,,,,,,,,,,,
us700071ij,2020-01-17 06:37:52.714,Ascension Island region,-11.6371,-13.782,10.0,5.8,10.0,USGS NEIC ShakeMap,ACTUAL,us,700071ij,2020-01-17T06:37:52.000Z,WGRW12,-11.6371,-13.782,5.8,automatic,-10.517,-12.65,,6.49,,0.255,,2.728,,0.463,,0.121,,0.019,-12.717,-14.9,MCwCFFYXBt42aQDDB8s7P8MeazQ8rQCBAhQkOlt4MCCVD1V7A8hl8cklTmAtWw==,v1,Version 1.14.0 2018-04-02,2020-02-01T13:05:02Z,automatic,4.0.1+381.g7b3fa70.dirty,5,green,10.0,us,700071ij,2020-01-17T06:37:52.000Z,-11.6371,-13.782,5.8,0.0,MCwCFBkgF0DGN3m3kVCoL6Z2IBMfPjh5AhQ0SOeJY1R+XjuuzAVTwHK7yAFUeA==,v1,Version 1.14.1 2018-04-26,automatic,,,,,,,,,,,,,,,
us60007a3h,2020-01-18 16:38:14.301,"146 km W of Abepura, Indonesia",-2.8405,139.3363,44.0,6.0,44.0,USGS NEIC ShakeMap,ACTUAL,us,60007a3h,2020-01-18T16:38:14.000Z,WGRW12,-2.8405,139.3363,6.0,automatic,-1.917,140.233,5.514,5.514,0.108,0.108,1.862,1.862,0.241,0.241,0.07,0.07,0.009,0.009,-3.717,138.433,MCwCFFAcW02rjOgCkLUrOfrittEGUnpjAhR7mG8aKDpv7r+b4FLDh/9wixatCw==,v1,Version 1.14.0 2018-04-02,2020-03-29T13:17:38Z,automatic,4.0.1+381.g7b3fa70.dirty,6,green,44.0,us,60007a3h,2020-01-18T16:38:14.000Z,-2.8405,139.3363,6.0,5.0,MC0CFQCG/DYzs1geosKCsmP8pgGb2FptJwIUXTNVtHy7XrfaAR2tSlxH9STrBOE=,v1,Version 1.14.1 2018-04-26,automatic,44.0,us,60007a3h,2020-01-18T16:38:14.000Z,-2.8415,139.3302,6.0,3.4,3.0,3.0,MC0CFARWBKCE5Um1AuaUKYagto1Sgj9FAhUAt/EF/bJKBvX8jMPBPeOiZAe/44A=,v1,Version 2.1.0 2019-03-07,,
us60007anp,2020-01-19 13:27:56.630,"104 km ENE of Kashgar, China",39.8353,77.1084,5.55,6.0,5.5,USGS NEIC ShakeMap,ACTUAL,us,60007anp,2020-01-19T13:27:56.000Z,WGRW12,39.8353,77.1084,6.0,automatic,41.283,79.05,7.579,7.579,0.391,0.391,3.548,3.548,0.834,0.834,0.375,0.375,0.081,0.081,38.35,75.25,MC0CFGtJS4aADNEcLyxSAFvYKu208YU9AhUAhSKywf9685fL5FKzAZTlpU+oH5U=,v1,Version 1.14.0 2018-04-02,2020-02-25T17:58:20Z,automatic,4.0.1+381.g7b3fa70.dirty,9,orange,5.5,us,60007anp,2020-01-19T13:27:56.000Z,39.8353,77.1084,6.0,7.0,MCsCEwG8A/kNpcEETQmCNG0i5531Nl0CFDB7+NfvO3WJRF9guSLFy3nTF6QY,v1,Version 1.14.1 2018-04-26,automatic,5.57,us,60007anp,2020-01-19T13:27:56.000Z,39.8353,77.1097,6.0,4.1,9.0,9.0,MC0CFQCApQKZBEyLh/O01jhWsT3z0ayp5AIUXAMh1IjaJsRRYoQnm+SERAh+Ltc=,v1,Version 2.1.0 2019-03-07,,
us60007arp,2020-01-19 16:58:20.002,"108 km SE of Gorontalo, Indonesia",-0.1042,123.8025,121.72,6.1,121.7,USGS NEIC ShakeMap,ACTUAL,us,60007arp,2020-01-19T16:58:20.000Z,WGRW12,-0.1042,123.8025,6.1,automatic,1.533,125.433,4.239,4.249,0.031,0.032,0.638,0.667,0.061,0.063,0.021,0.022,0.004,0.004,-1.717,122.167,MCwCFBm9+ZR3APQr6TIhPGkNQFVV5/8sAhQ4kAMRp0KDA9QUWfdwy6OVBxoy3g==,v1,Version 1.14.0 2018-04-02,2020-02-02T20:35:40Z,automatic,4.0.1+381.g7b3fa70.dirty,7,green,121.7,us,60007arp,2020-01-19T16:58:20.000Z,-0.1042,123.8025,6.1,4.0,MCwCFGfOxzoY7mcC06Ob6FzBkWqX3KjmAhRco61nlcvwq/ndWjmrUNwtAT5p+w==,v1,Version 1.14.1 2018-04-26,automatic,121.72,us,60007arp,2020-01-19T16:58:20.000Z,-0.1042,123.8025,6.1,4.1,4.0,4.0,MC4CFQDZ2vJTBaiF53x0IzfU7w9146JX1gIVAJwtHj+pCHoadWk+jS3ebp4RxACp,v1,Version 2.1.0 2019-03-07,,
